City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
East London,75,ZA,1554260400,100,27.91,-33.02,60.8,8.05
Pokhara,0,NP,1554264855,66,83.99,28.21,61.22,2.13
Arman,88,RU,1554264855,75,150.17,59.7,37.55,7.61
Adrar,0,DZ,1554260400,32,-0.29,27.87,66.2,5.82
Gornopravdinsk,8,RU,1554264856,76,69.92,60.06,27.92,3.36
Geraldton,90,CA,1554260400,92,-86.95,49.72,28.4,3.36
Maniitsoq,36,GL,1554264857,90,-52.9,65.42,30.71,42.84
Rio Grande,8,BR,1554264857,84,-52.1,-32.03,72.47,9.4
Kudahuvadhoo,0,MV,1554264857,100,72.89,2.67,83.18,7.27
Ilulissat,88,GL,1554259800,100,-51.1,69.22,30.2,20.8
Puerto Ayora,20,EC,1554264105,95,-90.35,-0.74,80.01,6.49
Warangal,0,IN,1554264858,64,79.6,17.99,83.54,8.95
Parrita,0,CR,1554264749,64,-84.33,9.52,73.4,13.87
Pedernales,64,EC,1554264858,93,-80.05,0.07,72.65,3.69
Fortuna,20,ES,1554264818,93,-1.13,38.18,55.99,5.82
Grindavik,0,IS,1554262200,100,-22.43,63.84,32.0,8.05
Gat,24,SN,1554262200,82,-16.54,14.69,71.6,24.16
Hamilton,75,BM,1554264106,83,-64.78,32.3,69.8,19.46
Osoyoos,75,CA,1554260400,45,-119.47,49.03,55.4,1.34
Tura,0,IN,1554264860,91,90.21,25.52,67.88,4.03
Lewistown,1,US,1554264804,86,-90.15,40.39,43.0,4.7
Quesnel,1,CA,1554260400,52,-122.49,52.98,42.8,1.45
Nabire,88,ID,1554264860,89,135.5,-3.36,75.62,2.57
Hofn,0,IS,1554264732,100,-15.21,64.25,27.29,7.94
Alihe,80,CN,1554264861,49,123.73,50.57,36.56,11.97
Aswan,0,EG,1554260400,26,32.9,24.09,59.0,3.36
Barrow,0,AR,1554264861,78,-60.23,-38.31,57.35,6.93
Ostrovnoy,68,RU,1554264861,90,39.51,68.05,30.53,15.21
Troitskoye,36,RU,1554264862,68,84.68,52.98,39.71,4.14
Kahului,20,US,1554264674,69,-156.47,20.89,80.6,19.46
Port Macquarie,100,AU,1554264605,57,152.91,-31.43,79.0,10.29
Poyarkovo,24,RU,1554264862,23,128.65,49.62,48.35,4.92
Japura,44,ID,1554264862,88,102.29,-0.42,79.49,2.91
Strzelce Opolskie,8,PL,1554264673,62,18.3,50.52,41.0,7.0
Lexington,1,US,1554264784,45,-84.5,38.05,48.2,6.93
Deputatskiy,0,RU,1554264863,83,139.9,69.3,11.36,3.91
Maningrida,32,AU,1554264863,85,134.23,-12.05,86.15,18.01
Saint-Joseph,76,FR,1554264799,87,6.97,43.56,51.8,5.82
Yarmouth,12,GB,1554264845,100,-1.5,50.71,35.01,2.24
Port Alfred,80,ZA,1554264594,92,26.89,-33.59,60.01,4.0
Brunico,75,IT,1554264076,50,11.94,46.8,53.6,18.34
Fraga,20,ES,1554264066,93,0.35,41.52,51.01,8.05
Ribeira Grande,64,PT,1554264865,100,-28.7,38.52,58.61,14.76
Mpraeso,0,GH,1554264865,97,-0.73,6.6,71.84,2.68
Sao Filipe,0,CV,1554264706,99,-24.5,14.9,69.77,14.76
Dunedin,0,NZ,1554264395,64,170.5,-45.87,60.01,11.01
Wanning,0,AT,1554264752,81,13.53,48.64,48.99,3.36
Lagoa,0,PT,1554264742,87,-8.45,37.14,55.4,5.7
Naze,24,NG,1554264867,92,7.07,5.43,76.52,6.26
Riyadh,0,SA,1554260400,58,46.72,24.63,59.0,2.24
Belaya Gora,0,RU,1554264867,100,146.19,68.54,19.82,4.14
Yumen,24,CN,1554264867,41,97.04,40.29,53.57,2.91
Basco,1,US,1554264658,65,-91.2,40.33,44.6,3.36
Shaoxing,40,CN,1554264858,77,120.58,30.0,63.0,2.24
Agdam,92,AZ,1554264868,90,46.93,39.99,39.08,0.89
Xichang,88,CN,1554264868,38,102.25,27.88,58.97,1.68
Tuatapere,0,NZ,1554264607,60,167.69,-46.13,59.0,5.01
Ponta do Sol,0,BR,1554264869,92,-46.0,-20.63,64.1,2.68
Sioux Lookout,5,CA,1554260400,48,-91.92,50.1,23.0,13.87
Barranca,20,PE,1554264869,97,-77.76,-10.75,67.34,7.49
Ishigaki,75,JP,1554262980,94,124.16,24.34,68.0,16.11
Javanrud,20,IR,1554260400,93,46.49,34.8,33.8,2.24
Corrales,76,CO,1554264870,95,-72.84,5.83,51.23,0.34
Tuy Hoa,0,VN,1554264686,78,109.3,13.08,83.63,5.14
Cape Town,0,ZA,1554264491,76,18.42,-33.93,61.0,3.36
Touros,40,BR,1554260400,94,-35.46,-5.2,78.8,4.7
Padang,0,ID,1554264870,100,100.36,-0.92,83.36,5.59
Port Blair,0,IN,1554264717,100,92.75,11.67,84.08,5.14
Denpasar,40,ID,1554262200,70,115.22,-8.65,87.8,9.17
Itoman,75,JP,1554264750,49,127.67,26.12,69.8,11.41
Mahebourg,75,MU,1554264544,88,57.7,-20.41,81.0,3.36
Lasa,20,CY,1554264058,87,32.53,34.92,51.8,8.05
Ancud,12,CL,1554260400,93,-73.83,-41.87,44.6,4.7
Nekhayevskiy,92,RU,1554264872,88,41.76,50.41,34.94,15.99
Mokrousovo,92,RU,1554264872,88,66.77,55.81,32.33,13.31
Dovbysh,0,UA,1554264872,68,27.99,50.37,24.32,6.26
Souillac,75,FR,1554264638,100,-0.6,45.6,46.0,10.29
Yulara,0,AU,1554264000,10,130.99,-25.24,86.0,16.11
Manitouwadge,76,CA,1554264873,83,-85.84,49.12,32.15,6.38
Kununurra,0,AU,1554262200,22,128.74,-15.77,91.4,12.75
Sept-Iles,90,CA,1554264030,80,-66.38,50.2,30.99,5.82
Hami,0,CN,1554264552,48,93.51,42.84,61.94,0.67
Tigzirt,92,DZ,1554264874,76,4.2,36.57,52.58,1.57
Araucaria,0,BR,1554264819,93,-49.41,-25.59,64.0,4.7
Salalah,20,OM,1554259800,83,54.1,17.01,75.2,3.36
Barraute,90,CA,1554264180,100,-77.63,48.43,33.8,16.11
Vila Franca do Campo,75,PT,1554264860,82,-25.43,37.72,55.4,13.87
Bintulu,75,MY,1554260400,70,113.03,3.17,87.8,2.24
Hambantota,75,LK,1554261000,74,81.12,6.12,86.0,2.24
Camapua,48,BR,1554264875,82,-54.04,-19.53,73.28,3.02
Yar-Sale,12,RU,1554264876,81,70.83,66.83,19.28,14.65
Novyy Svit,76,UA,1554264876,75,38.02,47.81,36.02,10.85
Inongo,0,CD,1554264876,93,18.29,-1.93,76.52,3.91
Weinan,44,CN,1554264000,34,109.46,34.5,68.0,11.18
Tigil,36,RU,1554264877,86,158.67,57.8,38.27,16.33
Yatou,20,CM,1554260400,94,9.81,3.63,75.2,4.36
Kualakapuas,20,ID,1554262200,79,114.39,-3.01,84.2,4.7
Canora,20,CA,1554260400,73,-102.43,51.64,23.0,10.29
Voh,92,NC,1554264878,88,164.69,-20.95,82.82,6.15
Mount Pleasant,1,US,1554264212,76,-94.97,33.16,55.4,6.49
Sitka,8,US,1554264016,73,-99.65,37.17,44.01,5.01
Kodiak,40,US,1554264829,41,-94.76,39.95,48.2,6.93
Chamba,0,IN,1554264879,39,76.12,32.56,56.18,2.24
Dossor,92,KZ,1554264880,99,52.98,47.52,44.48,13.42
Tank,12,PK,1554264880,36,70.39,32.22,71.84,4.59
Aksarka,0,RU,1554264880,79,67.8,66.56,18.47,12.64
Dogondoutchi,0,NE,1554264880,40,4.03,13.64,74.0,5.14
Kenai,1,US,1554264724,45,-151.26,60.55,44.6,5.82
Hay River,40,CA,1554260400,78,-115.79,60.82,10.4,3.36
Marsh Harbour,32,BS,1554264682,99,-77.06,26.54,76.25,11.63
Kavaratti,12,IN,1554264679,100,72.64,10.57,84.17,9.06
La Rioja,0,AR,1554264881,85,-66.86,-29.41,70.13,2.91
Bukachacha,0,RU,1554264881,29,116.91,52.99,35.48,3.24
Cayenne,90,GF,1554262200,94,-52.33,4.94,73.4,5.82
Harboore,48,DK,1554264738,87,8.18,56.62,44.01,5.82
Balkanabat,0,TM,1554264882,84,54.36,39.51,38.63,2.91
Coihaique,20,CL,1554260400,54,-72.07,-45.58,53.6,9.17
Bahir Dar,12,ET,1554264882,96,37.39,11.59,48.98,3.13
Talnakh,92,RU,1554264681,96,88.39,69.49,25.04,2.91
Muros,40,ES,1554264835,93,-9.06,42.77,50.0,2.24
Ola,44,RU,1554264883,81,151.3,59.58,36.47,22.7
Lixourion,0,GR,1554264800,87,20.43,38.2,55.0,9.17
Cockburn Town,0,TC,1554264656,100,-71.14,21.46,77.78,11.74
Acari,80,BR,1554264884,85,-36.64,-6.44,75.08,7.38
Upernavik,92,GL,1554264680,100,-56.15,72.79,14.51,16.11
Laguna,20,MX,1554264734,35,-110.01,27.52,72.83,3.91
Kavieng,36,PG,1554264884,100,150.8,-2.57,81.56,6.49
Valdivia,0,CL,1554260400,87,-73.25,-39.81,48.2,4.7
Hvide Sande,76,DK,1554264604,87,8.13,56.01,45.0,4.7
Dalbandin,32,PK,1554264885,42,64.41,28.9,67.52,2.01
Roald,92,NO,1554264303,86,6.12,62.58,37.4,3.36
Slidell,1,US,1554264879,81,-89.78,30.28,59.0,1.9
Tomatlan,8,MX,1554264885,86,-105.25,19.93,66.17,2.68
Rawson,0,AR,1554264886,32,-65.11,-43.3,57.62,9.62
Changping,0,CN,1554264873,26,116.23,40.22,66.0,6.71
Fairbanks,75,US,1554264846,51,-147.72,64.84,37.4,11.41
Gold Coast,75,AU,1554264649,78,153.41,-28.0,80.01,11.41
Zhuhai,0,CN,1554260400,10,112.04,40.71,55.4,6.71
Harper,1,US,1554264722,47,-99.24,30.3,59.0,6.93
Benjamin Aceval,75,PY,1554264000,100,-57.57,-24.97,71.6,8.05
Shimoda,20,JP,1554260400,34,138.93,34.7,55.4,9.17
Najran,0,SA,1554260400,45,44.22,17.54,68.0,2.91
Port Lincoln,76,AU,1554264887,78,135.86,-34.72,71.03,10.29
Bambanglipuro,64,ID,1554264888,93,110.28,-7.95,80.57,4.14
Rabat,0,MA,1554264080,87,-6.83,34.02,55.99,2.24
Kutum,0,SD,1554264888,32,24.66,14.2,54.65,6.6
Bertoua,12,CM,1554264888,95,13.68,4.58,66.08,2.91
Luderitz,0,NA,1554264889,90,15.16,-26.65,55.82,6.49
Ambo,44,ET,1554264889,95,37.86,8.98,49.25,2.35
Cabedelo,40,BR,1554260400,94,-34.84,-6.97,78.8,4.7
Jardim,68,BR,1554264889,80,-56.15,-21.48,76.25,8.5
Margate,0,AU,1554264679,29,147.26,-43.03,62.01,20.8
Santa Cruz del Sur,24,CU,1554264890,64,-78.0,20.71,79.4,9.84
Shieli,0,KZ,1554264890,87,66.74,44.18,55.37,10.4
Amboasary,20,MG,1554260400,94,46.38,-25.04,71.6,4.81
Lodja,36,CD,1554264890,88,23.6,-3.52,73.37,1.12
Torbay,20,CA,1554264515,86,-52.73,47.66,30.99,14.99
Port Keats,0,AU,1554264891,59,129.55,-14.25,93.17,11.3
Biloela,0,AU,1554264891,54,150.51,-24.4,80.3,14.65
Marawi,68,PH,1554264051,76,124.29,8.0,82.99,5.99
Ternate,20,PH,1554264564,55,120.72,14.29,89.6,9.17
Palana,88,RU,1554264892,68,159.95,59.08,36.65,11.18
Mitchell,1,US,1554264610,74,-98.03,43.71,37.4,4.7
Timaru,0,NZ,1554264630,60,171.25,-44.39,60.01,8.01
Penzance,40,GB,1554264613,86,-5.53,50.12,42.01,4.7
Xining,24,CN,1554264893,32,101.77,36.62,45.38,1.45
Bathsheba,40,BB,1554260400,69,-59.52,13.22,78.8,20.8
Douglas,1,US,1554264837,18,-109.55,31.34,64.99,10.29
Bouna,68,CI,1554264893,95,-3.0,9.27,71.03,8.28
Prokopyevsk,68,RU,1554264894,99,86.74,53.89,31.88,4.03
College,75,US,1554264846,51,-147.8,64.86,37.4,11.41
Nanortalik,68,GL,1554264722,96,-45.24,60.14,31.25,26.62
Guozhen,92,CN,1554264894,92,113.14,29.3,55.82,9.4
Urucara,8,BR,1554264894,89,-57.76,-2.54,79.13,3.13
Villamontes,88,BO,1554264895,92,-63.47,-21.26,68.06,2.57
Los Llanos de Aridane,76,ES,1554262200,62,-17.92,28.66,59.0,8.05
Pevek,12,RU,1554264723,79,170.27,69.7,29.81,9.95
Leshukonskoye,48,RU,1554264895,89,45.76,64.9,30.71,7.27
Puerto Baquerizo Moreno,0,EC,1554264895,97,-89.6,-0.9,80.75,7.05
Mezen,64,RU,1554264896,90,44.24,65.85,32.78,6.93
Farafangana,36,MG,1554264896,100,47.83,-22.82,75.08,3.91
Beringovskiy,88,RU,1554264896,100,179.32,63.05,29.63,19.01
Cap Malheureux,75,MU,1554264844,88,57.61,-19.98,81.0,3.36
San Carlos de Bariloche,0,AR,1554260400,48,-71.31,-41.13,42.8,6.93
Miramar,0,CR,1554264332,64,-84.73,10.09,73.4,13.87
Alice Springs,0,AU,1554264000,13,133.88,-23.7,82.4,14.99
Atar,0,MR,1554264897,84,-13.05,20.52,60.23,3.47
La Peca,80,PE,1554264897,100,-78.44,-5.61,65.27,1.9
Saint Simons,90,US,1554264728,100,-81.39,31.14,51.8,6.38
Mindelo,0,PT,1554264813,87,-8.72,41.31,50.0,8.05
Clinton,1,US,1554264893,69,-90.19,41.84,41.0,8.05
Puro,48,PH,1554264899,67,123.76,13.13,83.99,5.14
Khasan,44,RU,1554264899,64,130.64,42.43,43.58,10.51
Abatskoye,92,RU,1554264899,87,70.46,56.29,31.34,3.24
Mackay,75,CA,1554264000,59,-115.58,53.65,41.0,8.05
Teknaf,0,BD,1554264900,76,92.31,20.86,83.18,1.68
Darhan,0,MN,1554264900,30,105.92,49.49,58.79,8.5
Quelimane,40,MZ,1554260400,94,36.89,-17.88,73.4,3.36
Malaya Purga,56,RU,1554264061,61,53.01,56.55,33.01,8.99
Sao Jose da Coroa Grande,92,BR,1554264900,92,-35.15,-8.9,79.22,4.36
Elk Point,75,CA,1554260400,74,-110.9,53.9,32.0,2.24
Fairfield,90,US,1554264899,87,-122.04,38.25,57.99,9.17
Potsdam,0,DE,1554264842,66,13.06,52.4,50.0,6.93
Bone,40,ID,1554262200,83,119.42,-5.29,84.2,8.05
Natal,40,BR,1554264000,88,-35.21,-5.81,78.8,5.82
Houma,32,CN,1554264903,40,111.36,35.63,60.5,4.59
Montrose,0,AU,1554264872,52,145.34,-37.81,73.99,14.99
Banepa,20,NP,1554263400,60,85.52,27.63,68.0,4.7
Crewe,1,US,1554264898,100,-78.12,37.17,39.0,3.36
Faanui,44,PF,1554264904,100,-151.75,-16.48,85.16,11.74
Beroroha,0,MG,1554264905,88,45.17,-21.68,61.04,1.68
Zuwarah,0,LY,1554264905,100,12.08,32.93,51.41,4.92
Aykhal,68,RU,1554264905,82,111.51,65.95,28.55,8.72
Chokurdakh,8,RU,1554264679,100,147.9,70.62,16.85,7.61
Tsybli,0,UA,1554262200,79,31.57,49.99,24.8,8.95
Surt,56,LY,1554264906,100,16.59,31.21,56.72,5.82
Altay,0,CN,1554264906,64,88.13,47.83,44.03,3.02
Fort Collins,90,US,1554264905,66,-105.07,40.55,50.0,5.93
Sabha,0,LY,1554264906,59,14.43,27.03,54.74,6.26
Kuna,90,US,1554264831,100,-116.42,43.49,48.2,2.91
Half Moon Bay,90,US,1554264904,100,-122.43,37.46,57.99,5.82
Tapes,24,BR,1554264907,87,-51.4,-30.67,71.48,3.36
Bridgetown,5,CA,1554264092,74,-65.29,44.84,33.8,4.7
Strezhevoy,0,RU,1554262200,74,77.6,60.73,28.4,8.95
Quatre Cocos,75,MU,1554264844,88,57.76,-20.21,81.0,3.36
Tezu,92,IN,1554264908,90,96.16,27.93,52.49,1.57
Nichinan,75,JP,1554264749,21,131.31,31.65,60.8,17.22
Changtu,0,CN,1554264908,58,124.11,42.78,48.98,15.43
Saint Anthony,90,US,1554264821,86,-111.68,43.97,41.0,0.89
Yelan-Koleno,92,RU,1554264909,89,41.22,51.15,31.88,16.78
Okhotsk,8,RU,1554264909,63,143.24,59.36,38.45,3.69
Meadow Lake,20,CA,1554264811,51,-108.44,54.13,24.41,5.48
Kuytun,0,RU,1554264790,52,101.51,54.34,37.55,13.65
Klaksvik,64,FO,1554261600,80,-6.59,62.23,33.8,26.4
Tiksi,48,RU,1554264910,81,128.87,71.64,17.57,3.91
Redcar,36,GB,1554264907,86,-1.06,54.62,37.0,9.17
Whitehorse,90,CA,1554264796,29,-135.06,60.72,48.2,4.7
Luwuk,64,ID,1554264620,95,122.79,-0.95,80.39,3.47
Antalaha,44,MG,1554264911,90,50.28,-14.9,76.7,5.59
Alpena,40,US,1554264814,89,-83.43,45.06,37.4,9.17
Ballitoville,90,ZA,1554264896,93,31.21,-29.54,64.4,2.24
Baruun-Urt,0,MN,1554264740,25,113.28,46.68,56.09,10.4
Gamba,0,CN,1554264912,81,88.52,28.28,16.49,3.13
Shonguy,40,RU,1554262200,59,33.15,68.75,33.8,6.71
Pyay,0,MM,1554264839,64,95.22,18.82,84.62,3.8
Marsa Matruh,0,EG,1554260400,93,27.25,31.35,50.0,2.24
Jega,20,NG,1554264913,45,4.38,12.22,74.18,5.37
Aksu,0,KZ,1554262200,75,76.93,52.04,44.6,11.18
Prabumulih,0,ID,1554264913,96,104.19,-3.5,82.82,4.03
Quimper,56,FR,1554264724,86,-4.1,48.0,39.2,4.7
Comodoro Rivadavia,0,AR,1554260400,41,-67.48,-45.87,60.8,20.8
Los Andes,0,CL,1554264596,72,-70.6,-32.83,75.99,5.82
Mount Gambier,90,AU,1554264000,87,140.78,-37.83,60.8,14.99
Lorengau,64,PG,1554264915,95,147.27,-2.02,83.72,11.97
Banjarmasin,20,ID,1554262200,79,114.59,-3.32,84.2,4.7
Shugurovo,92,RU,1554264915,91,52.13,54.51,32.6,15.43
Antofagasta,90,CL,1554260400,49,-70.4,-23.65,68.0,1.12
Tsaratanana,44,MG,1554264916,96,47.65,-16.8,67.97,3.24
Ahipara,80,NZ,1554264916,73,173.16,-35.17,70.58,9.4
Corsicana,1,US,1554264906,58,-96.46,32.09,57.99,6.93
Barpali,0,IN,1554264916,46,83.58,21.2,84.08,5.14
Balabac,64,PH,1554264916,100,117.06,7.99,80.48,8.84
