City,Cloudiness,Country,Date,Humidity,Longitude,Lattitude,Max Temperature,Wind Speed
Karonga,20,MW,1554317552,100,33.93,-9.94,78.06,12.71
Bemidji,1,US,1554317293,47,-94.89,47.48,37.99,14.99
Grindavik,90,IS,1554317516,86,-22.43,63.84,43.0,29.97
Lompoc,90,US,1554317268,82,-120.46,34.64,64.99,3.36
Norman Wells,75,CA,1554314400,64,-126.83,65.28,1.4,14.99
Jamestown,88,AU,1554317554,64,138.6,-33.21,58.89,6.22
Zabaykalsk,48,CN,1554317554,78,117.33,49.64,32.34,14.05
Yellowknife,20,CA,1554317528,59,-114.38,62.45,5.0,9.17
Sitka,64,US,1554317140,46,-99.65,37.17,64.99,15.99
Okhotsk,44,RU,1554317555,84,143.24,59.36,22.98,6.55
Columbus,1,US,1554317242,20,-84.99,32.46,77.0,3.98
Mar del Plata,88,AR,1554317409,38,-67.52,-46.43,66.54,20.76
Zhuanghe,0,CN,1554317423,96,122.97,39.7,46.0,3.0
Namatanai,64,PG,1554317556,99,152.44,-3.66,82.29,7.45
Kaitangata,8,NZ,1554317476,92,169.85,-46.28,42.01,3.0
Tura,0,IN,1554317277,87,90.21,25.52,64.92,3.76
Pingdingshan,36,CN,1554317556,75,113.3,33.74,48.99,3.31
Yulara,0,AU,1554314400,23,130.99,-25.24,64.4,8.05
Bethel,1,US,1554314160,92,-161.76,60.79,33.8,11.41
Hermanus,68,ZA,1554317200,91,19.24,-34.42,62.01,2.86
Saint George,75,GR,1554317012,71,22.34,39.45,54.0,8.05
Yokadouma,0,CM,1554317558,64,15.05,3.52,81.66,3.98
Pisco,0,PE,1554314400,30,-76.2,-13.71,71.6,10.29
Coruripe,0,BR,1554317559,94,-36.18,-10.12,83.82,8.79
Saskylakh,88,RU,1554317559,82,114.09,71.97,22.26,4.88
Inirida,32,CO,1554317559,82,-67.92,3.87,84.45,1.19
Ribeira Grande,75,PT,1554316200,62,-28.7,38.52,59.0,6.93
Birin,56,SY,1554317559,88,36.67,35.01,51.69,2.64
Punta Arenas,40,CL,1554316951,93,-70.91,-53.16,46.4,35.57
Cape Town,0,ZA,1554317292,77,18.42,-33.93,66.0,3.36
Alice Springs,0,AU,1554314400,26,133.88,-23.7,57.2,5.82
Avarua,8,CK,1554314400,78,-159.78,-21.21,78.8,3.36
Bredasdorp,76,ZA,1554317164,82,20.04,-34.53,62.6,3.36
Bambous Virieux,40,MU,1554317343,83,57.76,-20.34,80.6,7.0
Teguldet,24,RU,1554317561,75,88.17,57.31,21.0,2.42
Kodiak,75,US,1554317524,51,-94.76,39.95,63.0,14.99
Saint Anthony,90,US,1554317406,81,-111.68,43.97,45.0,6.93
Tayu,20,JP,1554317456,100,136.67,35.06,39.99,9.17
Qaqortoq,20,GL,1554313800,58,-46.03,60.72,30.2,21.92
Esperance,75,TT,1554317408,58,-61.45,10.24,86.0,17.22
Upernavik,88,GL,1554317562,87,-56.15,72.79,30.63,26.91
Jalu,0,LY,1554317562,38,21.55,29.03,68.97,4.99
Carnarvon,0,ZA,1554317562,23,22.13,-30.97,70.86,11.59
Lahij,44,YE,1554317563,70,44.88,13.06,75.81,4.43
Cabra,0,ES,1554317511,30,-4.43,37.47,69.8,14.99
Thompson,40,CA,1554314400,51,-97.86,55.74,14.0,10.29
Qaanaaq,64,GL,1554317564,84,-69.36,77.48,9.57,9.35
Richards Bay,12,ZA,1554317564,83,32.06,-28.77,71.67,11.7
Vostok,88,RU,1554317564,63,135.83,46.45,22.08,2.98
Pangkalanbuun,8,ID,1554317564,94,111.62,-2.68,73.11,2.64
Peterhead,0,AU,1554317206,33,138.5,-34.83,73.0,5.82
Senno,0,RU,1554314400,22,27.95,57.76,42.8,4.47
Iqaluit,75,CA,1554317525,77,-68.52,63.75,6.8,4.7
Severo-Kurilsk,92,RU,1554317565,98,156.12,50.68,32.16,7.78
Hithadhoo,76,MV,1554317565,100,73.08,-0.6,81.84,4.99
Moose Factory,90,CA,1554314400,85,-80.61,51.26,24.8,17.22
Dikson,80,RU,1554317566,99,80.55,73.51,24.69,16.84
Batagay-Alyta,88,RU,1554317567,76,130.41,67.8,14.52,2.75
Xuddur,44,SO,1554317567,41,43.89,4.12,85.35,7.78
Kiunga,92,PG,1554317567,96,141.3,-6.12,74.37,2.08
Santa Cruz,90,US,1554317399,87,-122.03,36.97,62.01,3.36
Grand Gaube,40,MU,1554317343,83,57.66,-20.01,80.6,7.45
Fort Nelson,90,CA,1554314400,78,-122.69,58.81,15.8,10.29
Baykit,80,RU,1554317569,75,96.39,61.68,22.35,13.71
Yar-Sale,0,RU,1554317569,71,70.83,66.83,18.3,11.14
Portoferraio,90,IT,1554317464,76,10.31,42.81,60.01,17.22
Arman,0,RU,1554317569,73,150.17,59.7,25.41,7.56
Ust-Ishim,68,RU,1554317570,83,71.17,57.69,31.89,3.65
Weimar,90,US,1554317282,60,-96.78,29.7,71.6,14.99
Rawson,92,AR,1554317402,29,-65.11,-43.3,71.94,4.65
Sola,0,NO,1554317287,87,5.65,58.89,48.2,3.36
Nicolas Bravo,5,MX,1554317417,13,-104.74,24.39,72.0,6.93
Viedma,8,AR,1554317325,33,-62.99,-40.81,80.04,20.76
Luganville,92,VU,1554317571,100,167.18,-15.51,80.67,5.77
Nyurba,12,RU,1554317571,75,118.35,63.29,19.29,3.76
Faanui,0,PF,1554317571,100,-151.75,-16.48,84.0,9.46
Aasiaat,80,GL,1554317571,100,-52.87,68.71,16.77,48.05
Khatanga,88,RU,1554317572,85,102.47,71.98,16.59,10.13
Port Elizabeth,1,US,1554317545,51,-74.98,39.31,66.0,17.22
Bandarbeyla,92,SO,1554317572,100,50.81,9.49,80.22,4.21
Jilib,8,SO,1554317572,65,42.79,0.49,83.28,11.7
The Valley,20,AI,1554317199,61,-63.06,18.22,84.0,18.34
Provideniya,36,RU,1554317573,100,-173.23,64.42,21.09,22.21
Klaksvik,80,FO,1554315600,74,-6.59,62.23,37.4,13.87
Nome,90,US,1554317551,52,-94.42,30.04,69.8,10.29
Pasighat,92,IN,1554317574,86,95.33,28.06,57.27,1.74
Castro,90,CL,1554314400,100,-73.76,-42.48,50.0,9.17
Carballo,40,ES,1554317575,75,-8.69,43.21,52.0,11.41
Puerto Ayora,20,EC,1554317208,59,-90.35,-0.74,89.6,13.87
Cap Malheureux,40,MU,1554317343,83,57.61,-19.98,80.6,7.45
Makakilo City,1,US,1554317549,64,-158.09,21.35,73.99,4.7
Livenka,88,RU,1554317576,63,40.23,50.74,36.57,11.48
Owando,0,CG,1554317576,75,15.91,-0.49,84.99,1.97
Laredo,90,US,1554317406,88,-99.51,27.51,69.01,9.17
Aklavik,75,CA,1554315240,70,-135.01,68.22,-0.41,3.36
Mahebourg,40,MU,1554317343,83,57.7,-20.41,80.6,7.0
Ponta do Sol,88,BR,1554317578,90,-46.0,-20.63,77.7,4.76
Chicama,75,PE,1554314400,88,-79.15,-7.84,68.0,10.29
Cay,48,TR,1554317578,80,31.03,38.59,39.9,2.53
Novikovo,12,UA,1554317579,99,34.56,45.05,36.57,3.42
San Quintin,44,PH,1554317579,90,120.52,17.54,68.88,3.42
Saldanha,0,PT,1554317579,36,-6.55,41.42,49.44,12.82
Whitehorse,90,CA,1554317528,85,-135.06,60.72,26.01,13.87
Caravelas,8,BR,1554317579,100,-39.27,-17.73,80.94,6.44
Chacaltianguis,0,MX,1554316261,59,-95.84,18.3,82.99,1.01
Opuwo,44,NA,1554317580,62,13.84,-18.06,71.04,0.96
Timmins,75,CA,1554314400,50,-81.33,48.48,28.4,17.22
Lebu,75,ET,1554314400,72,38.73,8.96,59.0,20.8
Moron,68,VE,1554317581,55,-68.2,10.49,82.56,4.99
Raudeberg,0,NO,1554317405,61,5.14,61.99,46.4,4.7
Novobiryusinskiy,0,RU,1554317581,66,97.71,56.96,26.04,6.67
Nantucket,1,US,1554317423,57,-70.1,41.28,53.6,23.04
Laguna,20,MX,1554313380,30,-110.01,27.52,80.6,11.41
Pointe Michel,40,DM,1554314400,74,-61.38,15.25,82.4,6.93
Vestmannaeyjar,75,IS,1554314400,75,-20.27,63.44,42.8,17.22
Svetlaya,8,RU,1554317583,100,138.33,46.54,27.39,4.54
Ekhabi,92,RU,1554317583,90,142.97,53.51,27.75,16.84
Cocobeach,75,GA,1554316200,83,9.58,1.01,84.2,5.82
Katsuura,20,JP,1554314400,65,134.5,33.93,41.0,9.17
Westport,75,IE,1554317522,86,-9.52,53.8,43.0,27.51
Eenhana,44,NA,1554314400,29,16.34,-17.48,89.6,2.24
Belyy Yar,0,RU,1554314400,68,91.39,53.6,28.4,4.47
Trinidad,20,UY,1554314400,51,-56.9,-33.52,80.6,4.7
Doha,75,QA,1554316200,78,51.53,25.29,75.2,5.82
Lokosovo,0,RU,1554317585,78,74.84,61.13,23.97,8.12
Moengo,92,SR,1554317586,61,-54.4,5.62,84.36,5.99
Leua,44,AO,1554317586,56,20.45,-11.65,74.1,4.09
Spremberg,0,DE,1554317582,47,14.37,51.57,60.01,11.41
Bilma,0,NE,1554317586,15,12.92,18.69,84.18,1.97
Shingu,0,JP,1554317586,100,135.99,33.72,49.08,10.36
Hamilton,90,BM,1554317151,77,-64.78,32.3,69.01,12.75
Carutapera,88,BR,1554317587,98,-46.02,-1.2,78.87,6.44
Dunedin,20,NZ,1554317314,95,170.5,-45.87,48.0,1.01
Gravdal,40,NO,1554317531,66,5.78,59.79,48.2,9.17
Antofagasta,75,CL,1554314400,52,-70.4,-23.65,69.8,10.29
Los Llanos de Aridane,20,ES,1554316560,60,-17.92,28.66,68.0,5.82
Pauini,20,BR,1554317588,55,-67.0,-7.71,93.81,3.65
Shimoda,0,JP,1554317412,64,138.93,34.7,37.99,13.82
Acari,68,BR,1554317589,57,-36.64,-6.44,86.79,8.01
Bairnsdale,80,AU,1554317500,84,147.63,-37.83,57.99,2.75
Okha,92,RU,1554317589,90,142.95,53.59,27.75,16.84
Mogadishu,0,SO,1554317306,100,45.34,2.04,82.74,13.27
Lata,12,IN,1554317590,80,78.62,30.78,49.53,2.42
Tshikapa,32,CD,1554317590,81,20.79,-6.42,78.06,2.64
Rincon,1,US,1554317361,37,-81.24,32.3,71.6,3.36
Cabo San Lucas,5,MX,1554317411,17,-109.91,22.89,89.6,11.41
San Carlos de Bariloche,75,AR,1554314400,23,-71.31,-41.13,62.6,28.86
Chuy,0,UY,1554317591,89,-53.46,-33.69,71.76,12.71
Tarusa,0,RU,1554314400,44,37.18,54.73,41.0,2.24
Kokkola,0,FI,1554317320,51,23.13,63.84,39.99,6.93
Victoria,75,BN,1554314400,88,115.24,5.28,80.6,2.19
Seia,0,PT,1554317155,52,-7.7,40.42,50.0,4.0
Tasiilaq,12,GL,1554313800,92,-37.64,65.61,30.2,23.04
Garowe,0,SO,1554317593,47,48.48,8.41,80.94,13.82
Coquimbo,20,CL,1554314400,60,-71.34,-29.95,69.8,4.7
Georgetown,40,GY,1554314400,70,-58.16,6.8,86.0,16.11
Lorengau,56,PG,1554317594,100,147.27,-2.02,80.49,10.47
Poum,75,MK,1554316200,70,20.71,41.28,48.2,3.36
Senneterre,75,CA,1554315780,74,-77.24,48.39,30.2,18.34
Yakeshi,64,CN,1554317594,59,120.73,49.28,28.29,5.44
Saint-Pierre,0,FR,1554317564,81,4.24,48.95,42.8,10.29
Torbay,90,CA,1554317201,41,-52.73,47.66,39.2,19.46
Nabire,44,ID,1554317596,94,135.5,-3.36,66.63,0.63
Kruisfontein,76,ZA,1554317596,77,24.73,-34.0,61.86,6.22
Port Lincoln,88,AU,1554317596,90,135.86,-34.72,65.64,13.27
Karasjok,75,NO,1554315600,86,25.52,69.47,32.0,12.75
Fort-Shevchenko,20,KZ,1554317596,96,50.26,44.51,44.67,13.49
Karratha,0,AU,1554317597,54,116.85,-20.74,76.17,9.24
Longview,75,US,1554317458,35,-94.74,32.5,72.0,9.17
Souillac,36,FR,1554317482,81,-0.6,45.6,46.0,9.17
Sao Joao da Barra,40,BR,1554314400,62,-41.05,-21.64,84.2,9.17
Acapulco,5,MX,1554313560,70,-99.88,16.86,86.0,6.93
Opochka,0,RU,1554317598,45,28.66,56.71,37.65,8.01
Isla Mujeres,75,MX,1554317545,66,-86.73,21.23,84.2,11.41
Hachinohe,0,JP,1554317408,55,141.48,40.47,37.0,5.01
Fortuna,0,ES,1554317598,46,-1.13,38.18,70.0,16.11
Shangqiu,36,CN,1554317599,72,115.65,34.42,47.28,4.43
Codrington,75,AU,1554317437,100,153.24,-28.95,68.0,4.99
Farmington,75,US,1554317510,81,-108.21,36.73,48.99,4.7
Adrar,75,DZ,1554314400,17,-0.29,27.87,86.0,18.34
Buin,8,CL,1554317369,56,-70.74,-33.73,70.0,9.17
Cherskiy,0,RU,1554317600,61,161.3,68.75,14.52,5.21
Xinzhou,8,CN,1554317601,78,112.73,38.41,35.31,2.08
Skuodas,0,LV,1554315600,29,21.52,56.27,50.0,8.05
Namtsy,0,RU,1554314400,85,129.66,62.72,17.6,4.47
Maple Creek,12,CA,1554317601,42,-109.46,49.91,47.55,17.18
Hvide Sande,80,DK,1554317534,93,8.13,56.01,51.01,6.93
Vikhorevka,36,RU,1554317551,49,101.17,56.12,24.8,11.18
Ende,36,ID,1554317602,100,121.65,-8.84,81.66,2.3
Puerto Leguizamo,64,CO,1554317602,69,-74.78,-0.19,86.97,3.09
Belfort,75,FR,1554317589,93,6.86,47.64,41.0,6.93
Arraial do Cabo,40,BR,1554314400,69,-42.02,-22.97,84.2,12.75
Poya,88,NC,1554317604,100,165.16,-21.35,75.54,1.41
Hobyo,56,SO,1554317604,84,48.53,5.35,80.94,7.78
Boueni,20,YT,1554316200,79,45.08,-12.9,84.2,10.29
Bathsheba,40,BB,1554314400,58,-59.52,13.22,84.2,24.16
Skjervoy,90,NO,1554315600,100,20.97,70.03,32.0,19.46
Airai,92,TL,1554317605,79,125.41,-8.93,70.14,1.74
Longyearbyen,12,NO,1554317605,78,15.63,78.22,-1.78,1.41
Nemuro,0,JP,1554317605,100,145.57,43.32,31.44,18.3
El Paujil,64,CO,1554317605,89,-75.33,1.57,73.92,1.63
Marsaxlokk,20,MT,1554317426,87,14.54,35.84,57.2,6.93
Nizhnevartovsk,0,RU,1554314400,68,76.58,60.93,24.8,4.47
Buri,76,BR,1554317606,58,-48.6,-23.8,78.87,3.76
Luanda,20,AO,1554314400,79,13.24,-8.83,84.2,6.93
Port-Gentil,20,GA,1554314400,79,8.78,-0.72,84.2,8.05
Ust-Kuyga,0,RU,1554317607,56,135.55,70.0,2.19,4.76
Yorosso,56,ML,1554317607,25,-4.78,12.35,100.02,5.1
Ust-Karsk,92,RU,1554317608,79,118.82,52.71,29.01,3.76
Taltal,44,CL,1554317608,75,-70.49,-25.41,66.0,3.2
Manggar,0,ID,1554317608,100,108.27,-2.88,75.36,2.42
Iquique,40,CL,1554314400,44,-70.14,-20.22,77.0,9.17
Bagotville,75,AU,1554317437,100,153.42,-28.98,68.0,14.05
Sinegorye,92,RU,1554317609,94,150.53,62.09,15.6,2.19
Alugan,0,PH,1554317609,99,125.48,12.22,74.37,9.46
Oda,0,JP,1554317609,94,132.5,35.19,49.17,14.83
Road Town,40,VG,1554317309,58,-64.62,18.42,84.2,9.17
Piterka,92,RU,1554317610,95,47.44,50.68,35.67,14.72
Derazhnya,0,UA,1554317610,53,27.43,49.27,37.74,9.57
Lihula,0,EE,1554317403,41,23.83,58.68,46.0,5.01
Rampur,0,IN,1554317611,68,79.03,28.8,72.84,2.75
Sao Felix do Xingu,24,BR,1554317611,69,-51.99,-6.64,87.24,2.64
Porto Novo,0,BR,1554314400,45,-45.44,-23.68,84.2,4.7
Prince George,1,CA,1554317419,55,-122.75,53.92,46.0,6.93
Alofi,92,NU,1554314400,100,-169.92,-19.06,68.0,1.12
Hot Springs,1,US,1554317226,34,-93.06,34.5,72.0,9.17
Gijon,40,ES,1554317476,75,-5.66,43.54,45.0,6.93
Baishishan,24,CN,1554317612,31,127.55,43.58,36.39,4.54
Hami,0,CN,1554317612,46,93.51,42.84,51.15,4.99
Warwick,20,US,1554317610,33,-71.42,41.7,63.0,12.75
Ekibastuz,32,KZ,1554317613,82,75.32,51.72,46.83,6.22
Maningrida,92,AU,1554317613,96,134.23,-12.05,80.04,18.52
Atar,0,MR,1554317614,88,-13.05,20.52,76.35,3.42
Constitucion,5,MX,1554317417,13,-104.67,23.99,72.0,6.93
Kalinovskaya,0,RU,1554314400,71,45.52,43.57,50.0,17.9
Sinop,68,TR,1554317449,98,35.15,42.03,46.92,10.47
Avera,1,US,1554317587,26,-82.53,33.19,71.01,3.36
Rybinsk,8,RU,1554317615,85,38.83,58.05,26.94,3.65
Port Hardy,90,CA,1554314400,87,-127.42,50.7,48.2,4.7
Ambon,68,FR,1554317526,70,-2.56,47.55,46.0,5.82
Ostrovnoy,20,RU,1554317615,84,39.51,68.05,28.38,12.59
Havelock,1,US,1554317294,39,-76.9,34.88,66.99,4.7
Natal,40,BR,1554314400,70,-35.21,-5.81,86.0,9.17
Montlucon,92,FR,1554317209,79,2.6,46.33,39.0,3.0
Tsybli,0,UA,1554316200,51,31.57,49.99,35.6,2.24
Port Moresby,40,PG,1554314400,100,147.16,-9.47,73.4,5.82
Sao Gabriel da Cachoeira,75,BR,1554314400,66,-67.09,-0.13,89.6,3.36
Broome,20,GB,1554317598,86,1.45,52.47,43.0,4.7
Puerto Escondido,20,MX,1554316860,58,-97.07,15.86,87.8,11.41
Rongcheng,0,CN,1554317617,66,122.42,37.16,42.96,14.72
Tiksi,88,RU,1554317618,74,128.87,71.64,21.0,3.42
Oktyabrskoye,0,RU,1554317430,58,85.44,56.73,36.0,2.24
Kavaratti,0,IN,1554317618,100,72.64,10.57,84.45,4.76
Rochester,1,US,1554317612,49,-92.46,44.02,52.0,11.41
Mahibadhoo,0,MV,1554317619,100,72.97,3.78,84.0,4.76
Pitimbu,24,BR,1554317619,90,-34.81,-7.47,84.81,9.24
Shitanjing,92,CN,1554317488,12,106.34,39.23,55.0,2.53
Komsomolskiy,80,RU,1554317619,90,63.78,67.55,25.86,6.11
Liptovsky Hradok,40,SK,1554317409,49,19.72,49.04,53.01,4.7
Conceicao da Barra,12,BR,1554317620,87,-39.73,-18.59,81.93,7.0
Kiama,75,AU,1554317524,93,150.86,-34.67,66.0,4.7
Conceicao do Araguaia,0,BR,1554317408,95,-49.26,-8.26,86.52,4.43
Khandyga,20,RU,1554317620,65,135.58,62.65,10.29,2.42
Mandalgovi,0,MN,1554317621,59,106.27,45.76,34.59,6.11
Bahawalpur,0,PK,1554317333,43,71.66,29.39,82.29,8.23
Maputo,75,MZ,1554314400,88,32.57,-25.97,73.4,2.24
Longkou,0,CN,1554317621,75,120.47,37.64,47.01,19.53
Fairbanks,1,US,1554317516,37,-147.72,64.84,24.01,16.11
Bereda,40,ES,1554317591,75,-7.54,43.27,51.01,11.41
Champaign,40,US,1554317474,41,-88.24,40.12,59.0,5.82
Seddon,0,NZ,1554317230,100,174.07,-41.67,39.99,2.98
Bakel,48,SN,1554317622,25,-12.46,14.9,97.5,8.01
Tuatapere,80,NZ,1554317622,98,167.69,-46.13,56.1,15.84
Vereshchagino,0,RU,1554317623,81,54.67,58.07,23.79,8.79
East London,0,ZA,1554314400,78,27.91,-33.02,71.6,12.75
Husavik,68,CA,1554317411,47,-96.99,50.56,30.99,7.0
Jijiga,80,ET,1554317624,54,42.8,9.35,70.68,0.85
Ahipara,48,NZ,1554317624,100,173.16,-35.17,61.23,12.71
Sabang,48,PH,1554317624,97,123.58,13.72,75.54,7.23
Cayenne,75,GF,1554316200,66,-52.33,4.94,84.2,14.99
Oxbow,1,CA,1554317181,41,-102.17,49.23,39.2,12.75
Saucillo,0,MX,1554317625,13,-105.29,28.03,75.54,7.78
Ixtapa,5,MX,1554317411,58,-105.21,20.71,82.4,9.17
Mehamn,90,NO,1554313800,92,27.85,71.03,32.0,8.05
Talnakh,68,RU,1554317626,91,88.39,69.49,18.57,3.65
Altagracia de Orituco,12,VE,1554317626,41,-66.38,9.86,92.55,13.27
Umm Kaddadah,0,SD,1554317626,15,26.69,13.6,77.07,8.12
Dingle,0,PH,1554317626,81,122.67,11.0,75.63,8.12
Trelew,92,AR,1554317627,29,-65.31,-43.25,71.94,4.65
Pangoa,64,PE,1554317627,84,-73.0,-12.12,75.0,1.97
Nanortalik,56,GL,1554317627,100,-45.24,60.14,31.08,38.65
Almaznyy,40,RU,1554314400,100,40.04,48.03,35.6,8.95
Mecca,0,SA,1554317463,38,39.83,21.43,63.84,3.65
Cedar City,90,US,1554317150,53,-113.06,37.68,55.0,5.82
Fortuna Foothills,1,US,1554317583,37,-114.41,32.66,75.0,13.87
San Patricio,92,PY,1554317628,90,-56.83,-26.98,77.43,3.09
Billings,90,US,1554317212,39,-108.5,45.79,53.01,4.21
Bismarck,1,US,1554317598,44,-100.78,46.81,43.0,16.11
Klyuchi,88,RU,1554317629,49,79.17,52.25,47.46,11.81
Motygino,0,RU,1554317629,62,94.69,58.18,25.23,6.11
Marsa Matruh,0,EG,1554317543,74,27.25,31.35,56.1,8.46
Valparaiso,40,US,1554317482,20,-87.06,41.47,59.0,5.82
Black River,20,JM,1554317201,74,-77.85,18.03,84.99,16.11
San Vicente de Canete,56,PE,1554317630,83,-76.38,-13.08,70.95,4.21
Prince Rupert,1,CA,1554314400,57,-130.32,54.32,50.0,6.93
Namibe,12,AO,1554317630,100,12.15,-15.19,79.59,9.24
Eyl,56,SO,1554317630,100,49.82,7.98,78.69,3.76
Te Anau,32,NZ,1554317631,81,167.72,-45.41,40.98,6.11
Vung Tau,80,VN,1554317631,95,107.08,10.35,82.74,8.34
Mtama,8,TZ,1554317631,71,39.37,-10.3,75.54,4.32
Reconquista,44,AR,1554317374,62,-59.64,-29.14,88.59,4.21
Xining,92,CN,1554317631,78,101.77,36.62,31.26,2.64
Cairns,75,AU,1554317296,94,145.77,-16.92,75.2,11.41
Paamiut,80,GL,1554317632,94,-49.67,61.99,31.08,17.96
Iralaya,40,HN,1554314400,74,-83.23,15.0,86.0,8.05
Zlobin,20,HR,1554317616,82,14.65,45.29,55.4,6.93
Mareeba,75,AU,1554317597,94,145.42,-16.99,75.2,11.41
Constantine,75,DZ,1554314400,63,6.61,36.36,60.8,17.22
Dudinka,88,RU,1554317633,89,86.18,69.41,19.47,7.23
Opoczno,24,PL,1554317544,42,20.29,51.38,54.0,18.97
Tokur,44,RU,1554317634,75,132.9,53.13,11.37,1.86
Sulangan,0,PH,1554317634,100,123.72,11.14,81.3,16.51
Zarya,0,RU,1554317127,84,39.64,45.67,45.0,9.57
La Ronge,75,CA,1554314400,48,-105.3,55.1,17.6,4.7
Rupert,90,US,1554315720,81,-113.68,42.62,50.0,11.41
Iskateley,56,RU,1554317635,91,53.15,67.68,30.36,13.49
Buala,68,SB,1554317635,100,159.59,-8.15,79.68,7.67
Jiayuguan,0,CN,1554317635,64,98.29,39.77,29.37,4.43
Gorlice,44,PL,1554317260,48,21.16,49.66,51.01,11.01
Simao,12,CN,1554317636,96,100.79,22.76,51.96,1.97
Grand-Lahou,8,CI,1554317636,69,-5.0,5.24,85.44,7.11
Nichinan,0,JP,1554317549,60,131.31,31.65,42.01,4.0
Waingapu,8,ID,1554317636,98,120.26,-9.65,69.96,2.75
Tiarei,20,PF,1554317546,66,-149.33,-17.53,86.0,5.82
Pangnirtung,90,CA,1554316200,84,-65.72,66.15,6.8,6.93
Takoradi,12,GH,1554317637,94,-1.75,4.89,84.45,10.69
Huron,75,US,1554314100,57,-98.21,44.36,48.2,8.05
